GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–
GT Pro;101;"Желябин Владимир / 
Невзоров Александр / 
Желябин Андрей";Jeep Cherokee;"Москва, 
Россия";ЧЕ 5 класс
TR3;302;"Vansovics Edvins / 
Mezulis Krisjanis";Shendo beha;"Riga, 
Latvia";–